,item,level,name,quantity,unit
0,7178A,1,GENSCREEN 2/PLAQ R1 S/SAC.ETIQ,5000.0,/PC
1,7361E,1,S.LAV. R2 20X 235ML LOGO CPL,1000.0,/PC
2,7178C,1,GENSCR.2/CTL NEG R3 ETIQ 1-5PL,1000.0,/PC
3,7178D,1,GENSC.2/CTL SEUIL R4 ETI.1-5PL,1000.0,/PC
4,7178E,1,GENSCR.2/CTL POS R5 ETIQ 1-5PL,1000.0,/PC
5,7179F,1,GENSC.2/DIL.ECHANT.R6 ETIQ 5PL,2000.0,/PC
6,7179G,1,GENSCREEN 2/CONJ.R7-A ETIQ 5PL,2000.0,/PC
7,7179H,1,GENSC.2/DIL.CONJ.R7-B ETIQ 5PL,2000.0,/PC
8,7360G,1,TP SUBS.R8 WW2 ET-REP GEN. CE,2000.0,/PC
9,7436L,1,CHROM.R9 WW3 ETIQ-REP CLP,2000.0,/PC
10,7361H,1,S.ARRET R10WW2 ETIQ LOGO CLP,3000.0,/PC
11,883176,1,ETI BT GES HIV V.2 72278-72279,1050.0,/PC
12,883666,1,NOT GES V2 72278-79 2L CLP,1000.0,/PC
13,883412,1,PACK BIO-RAD 5PL D=34 UNIC,1000.0,/PC
14,860209,1,CAISSE QT EXCEPTEE 448X236X291,250.0,/PC
15,864006,1,ET.NEUTRE BLANCHE (70X180),250.0,/PC
16,7201L1H,2,GP 160 PURIFIEE HIV1/2,60.0,MG
17,7203Y,2,ROUGE DE PHENOL SOL.2% FL.5ML,5.0,/PC
18,7248J,2,SOL.STOCK PEPT41-2-1 O4 1MG/ML,3.0,ML
19,7254Q1H,2,PROTEINE P25 PURIFIEE PLAQUES,6.5,MG
20,213522,2,CHLORURE POTASSIUM/1KG,45.225,G
21,216022,2,CHLORURE SODIUM/ (Nacl) 5KG,4050.0,G
22,256002,2,POTASSIUM DIHYDROGENOPHOS/1KG,107.10000000000001,G
23,274500,2,SACCHAROSE/25KG,11.25,KG
24,563261,2,MICROTITER PLATE F8 CAO,5000.0,/PC
25,719531,2,DITHIOTREITOL/5G,321.1,MG
26,720070,2,CHAPS/10G,1890.0,MG
27,800268,2,AMPHOTERICINE B SOLUBLE/50MG,1.125,GAI
28,800558,2,LAIT ECREME UHT,55.0,L
29,800772,2,UREE/5KG,12.15,KG
30,800972,2,SACHET SILICAGEL  ALLERGOLAM,5150.0,/PC
31,801070,2,EAU PPI/5L CAO,85.0,L
32,704004,2,"PHOSPHATE DISODIUM/2,5KG",322.9,G
33,801518,2,TWEEN 20/1L,225.0,ML
34,801519,2,SODIUM HYDROGENOCARBONATE/5KG,453.6,G
35,801520,2,CARBONATE SODIUM ANHYDRE/5KG,143.1,G
36,800016,2,EAU PPI/1L CAO,2.0,L
37,801952,2,BOB TRIPLEX ALU 96CUP L 240MM,1025.0,M
38,581400,2,POCHE FLEXEL 200L NON STERILE,1.0,/PC
39,251002,2,DIPOTASSIUM HYDROGENOPHOS/1KG,0.4099999999999999,KG
